"2011 census frozen ward","mnemonic","Total","Male","Female"
"Malmesbury","E36001521",10,5,0
"Marlborough East","E36001522",10,5,5
"Marlborough West","E36001523",0,0,0
"Melksham Central","E36001524",15,10,5
"Melksham North","E36001525",5,0,5
"Melksham South","E36001526",10,5,0
"Melksham Without North","E36001527",0,0,0
"Melksham Without South","E36001528",5,5,5
"Mere","E36001529",5,0,0
"Minety","E36001530",5,0,0
"Nadder and East Knoyle","E36001531",0,0,0
